MONDO,EFO
MONDO_0005278,EFO_0003825
MONDO_0006387,EFO_1000495
MONDO_0017137,EFO_0007402
MONDO_0005880,EFO_0007400
MONDO_0005886,EFO_0007406
MONDO_0005885,EFO_0007405
MONDO_0005884,EFO_0007404
MONDO_0005883,EFO_0007403
MONDO_0010703,EFO_0007409
MONDO_0006002,EFO_0007531
MONDO_0005887,EFO_0007407
MONDO_0005768,EFO_0007280
MONDO_0018626,EFO_0007420
MONDO_0005901,EFO_0007424
MONDO_0005900,EFO_0007423
MONDO_0005899,EFO_0007422
MONDO_0005905,EFO_0007428
MONDO_0005395,EFO_0004280
MONDO_0005903,EFO_0007426
MONDO_0005906,EFO_0007429
MONDO_0005890,EFO_0007413
MONDO_0005888,EFO_0007410
MONDO_0005894,EFO_0007417
MONDO_0005893,EFO_0007416
MONDO_0005892,EFO_0007415
MONDO_0005891,EFO_0007414
MONDO_0005896,EFO_0007419
MONDO_0005895,EFO_0007418
MONDO_0005918,EFO_0007442
MONDO_0005916,EFO_0007440
MONDO_0005922,EFO_0007446
MONDO_0005921,EFO_0007445
MONDO_0005920,EFO_0007444
MONDO_0005919,EFO_0007443
MONDO_0005925,EFO_0007449
